cell	count(cell)	drug	count(drug)	count(cell,drug)	ratio(by drug)	ratio(bycell)
BFTC-905	186	IAP	935	20	0.0213903743315508	0.10752688172043
J82	195	IAP	935	20	0.0213903743315508	0.102564102564103
C32	76	IAP	935	20	0.0213903743315508	0.263157894736842
T47D	365	IAP	935	3	0.00320855614973262	0.00821917808219178
NCI-H2228	85	IAP	935	18	0.0192513368983957	0.211764705882353
A549	87	IAP	935	20	0.0213903743315508	0.229885057471264
BT-474	435	IAP	935	2	0.00213903743315508	0.00459770114942529
NCI-H3122	70	IAP	935	17	0.0181818181818182	0.242857142857143
MDA-MB-157	190	IAP	935	4	0.00427807486631016	0.0210526315789474
SW900	87	IAP	935	19	0.0203208556149733	0.218390804597701
UACC-812	340	IAP	935	0	0	0
KU-19-19	68	IAP	935	8	0.00855614973262032	0.117647058823529
BT-20	192	IAP	935	4	0.00427807486631016	0.0208333333333333
MDA-MB-436	187	IAP	935	4	0.00427807486631016	0.0213903743315508
RKO	63	IAP	935	20	0.0213903743315508	0.317460317460317
M14	129	IAP	935	1	0.00106951871657754	0.00775193798449612
T-24	188	IAP	935	19	0.0203208556149733	0.101063829787234
NCI-H2291	89	IAP	935	19	0.0203208556149733	0.213483146067416
SW837	104	IAP	935	22	0.0235294117647059	0.211538461538462
MDA-MB-415	52	IAP	935	3	0.00320855614973262	0.0576923076923077
VCaP	29	IAP	935	0	0	0
MDA-MB-453	188	IAP	935	4	0.00427807486631016	0.0212765957446809
HCC1143	136	IAP	935	1	0.00106951871657754	0.00735294117647059
HCC70	180	IAP	935	4	0.00427807486631016	0.0222222222222222
CAL-51	140	IAP	935	1	0.00106951871657754	0.00714285714285714
22RV1	26	IAP	935	0	0	0
HCC1806	140	IAP	935	1	0.00106951871657754	0.00714285714285714
HT-1197	168	IAP	935	18	0.0192513368983957	0.107142857142857
KATOIII	27	AKT_1	738	0	0	0
Hs-578-T	127	AKT_1	738	16	0.021680216802168	0.125984251968504
CAMA-1	427	AKT_1	738	39	0.0528455284552846	0.0913348946135831
MDA-MB-361	451	AKT_1	738	20	0.02710027100271	0.0443458980044346
NCI-H23	85	AKT_1	738	1	0.0013550135501355	0.0117647058823529
SW780	181	AKT_1	738	0	0	0
SW48	124	AKT_1	738	3	0.0040650406504065	0.0241935483870968
MDA-MB-175-VII	88	AKT_1	738	4	0.00542005420054201	0.0454545454545455
HT-1376	170	AKT_1	738	0	0	0
CAL-148	138	AKT_1	738	20	0.02710027100271	0.144927536231884
KMS-11	19	AKT_1	738	0	0	0
VM-CUB-1	128	AKT_1	738	0	0	0
DMS-114	110	AKT_1	738	1	0.0013550135501355	0.00909090909090909
SW948	95	AKT_1	738	0	0	0
HCC1187	189	AKT_1	738	29	0.0392953929539295	0.153439153439153
NCI-H520	111	AKT_1	738	1	0.0013550135501355	0.00900900900900901
HCC38	137	AKT_1	738	20	0.02710027100271	0.145985401459854
MDA-MB-231	140	AKT_1	738	20	0.02710027100271	0.142857142857143
NCI-H226	79	AKT_1	738	1	0.0013550135501355	0.0126582278481013
SW620	106	AKT_1	738	1	0.0013550135501355	0.00943396226415094
HCC1500	375	AKT_1	738	8	0.010840108401084	0.0213333333333333
MDA-MB-468	181	AKT_1	738	30	0.040650406504065	0.165745856353591
NCI-H358	91	AKT_1	738	1	0.0013550135501355	0.010989010989011
HT-29	84	AKT_1	738	3	0.0040650406504065	0.0357142857142857
EVSA-T	35	AKT_1	738	6	0.00813008130081301	0.171428571428571
647-V	191	AKT_1	738	0	0	0
NCI-H747	110	AKT_1	738	3	0.0040650406504065	0.0272727272727273
NCI-H1437	89	AKT_1	738	1	0.0013550135501355	0.0112359550561798
HCC1428	136	AKT_1	738	20	0.02710027100271	0.147058823529412
NCI-H1703	118	AKT_1	738	1	0.0013550135501355	0.00847457627118644
HCC1419	262	AKT_1	738	16	0.021680216802168	0.0610687022900763
NCI-H838	84	AKT_1	738	1	0.0013550135501355	0.0119047619047619
NCI-H2170	77	AKT_1	738	1	0.0013550135501355	0.012987012987013
HCT-116	63	AKT_1	738	3	0.0040650406504065	0.0476190476190476
NCI-H1563	65	AKT_1	738	0	0	0
NCI-H1793	91	AKT_1	738	1	0.0013550135501355	0.010989010989011
MCF7	404	AKT_1	738	17	0.0230352303523035	0.0420792079207921
HCC1395	183	AKT_1	738	30	0.040650406504065	0.163934426229508
NCI-H1299	91	AKT_1	738	1	0.0013550135501355	0.010989010989011
COLO-205	123	AKT_1	738	3	0.0040650406504065	0.024390243902439
UM-UC-3	196	AKT_1	738	0	0	0
NCI-SNU-16	26	AKT_1	738	0	0	0
BT-549	139	AKT_1	738	20	0.02710027100271	0.143884892086331
NCI-H522	88	AKT_1	738	1	0.0013550135501355	0.0113636363636364
Calu-6	87	AKT_1	738	0	0	0
TCCSUP	193	AKT_1	738	0	0	0
RT4	27	AKT_1	738	0	0	0
CAL-120	158	AKT_1	738	20	0.02710027100271	0.126582278481013
DU-4475	125	AKT_1	738	19	0.0257452574525745	0.152
HCC1954	50	AKT_1	738	10	0.013550135501355	0.2
NCI-H2085	90	AKT_1	738	1	0.0013550135501355	0.0111111111111111
HCC1937	139	AKT_1	738	20	0.02710027100271	0.143884892086331
LS-513	123	AKT_1	738	3	0.0040650406504065	0.024390243902439
HCC1569	52	AKT_1	738	10	0.013550135501355	0.192307692307692
NCI-H1975	91	AKT_1	738	1	0.0013550135501355	0.010989010989011
MFM-223	138	AKT_1	738	20	0.02710027100271	0.144927536231884
Calu-3	57	AKT_1	738	1	0.0013550135501355	0.0175438596491228
BFTC-905	186	AKT_1	738	0	0	0
J82	195	AKT_1	738	0	0	0
C32	76	AKT_1	738	0	0	0
T47D	365	AKT_1	738	19	0.0257452574525745	0.0520547945205479
NCI-H2228	85	AKT_1	738	1	0.0013550135501355	0.0117647058823529
A549	87	AKT_1	738	1	0.0013550135501355	0.0114942528735632
BT-474	435	AKT_1	738	20	0.02710027100271	0.0459770114942529
NCI-H3122	70	AKT_1	738	1	0.0013550135501355	0.0142857142857143
MDA-MB-157	190	AKT_1	738	30	0.040650406504065	0.157894736842105
SW900	87	AKT_1	738	1	0.0013550135501355	0.0114942528735632
UACC-812	340	AKT_1	738	9	0.0121951219512195	0.0264705882352941
KU-19-19	68	AKT_1	738	0	0	0
BT-20	192	AKT_1	738	30	0.040650406504065	0.15625
MDA-MB-436	187	AKT_1	738	29	0.0392953929539295	0.155080213903743
RKO	63	AKT_1	738	2	0.002710027100271	0.0317460317460317
M14	129	AKT_1	738	16	0.021680216802168	0.124031007751938
T-24	188	AKT_1	738	0	0	0
NCI-H2291	89	AKT_1	738	1	0.0013550135501355	0.0112359550561798
SW837	104	AKT_1	738	2	0.002710027100271	0.0192307692307692
MDA-MB-415	52	AKT_1	738	10	0.013550135501355	0.192307692307692
VCaP	29	AKT_1	738	0	0	0
MDA-MB-453	188	AKT_1	738	30	0.040650406504065	0.159574468085106
HCC1143	136	AKT_1	738	20	0.02710027100271	0.147058823529412
HCC70	180	AKT_1	738	28	0.037940379403794	0.155555555555556
CAL-51	140	AKT_1	738	20	0.02710027100271	0.142857142857143
22RV1	26	AKT_1	738	0	0	0
HCC1806	140	AKT_1	738	20	0.02710027100271	0.142857142857143
HT-1197	168	AKT_1	738	0	0	0
KATOIII	27	PI3KCD	70	0	0	0
Hs-578-T	127	PI3KCD	70	0	0	0
CAMA-1	427	PI3KCD	70	5	0.0714285714285714	0.0117096018735363
MDA-MB-361	451	PI3KCD	70	11	0.157142857142857	0.024390243902439
NCI-H23	85	PI3KCD	70	0	0	0
SW780	181	PI3KCD	70	0	0	0
SW48	124	PI3KCD	70	0	0	0
MDA-MB-175-VII	88	PI3KCD	70	1	0.0142857142857143	0.0113636363636364
HT-1376	170	PI3KCD	70	0	0	0
CAL-148	138	PI3KCD	70	0	0	0
KMS-11	19	PI3KCD	70	0	0	0
VM-CUB-1	128	PI3KCD	70	0	0	0
DMS-114	110	PI3KCD	70	0	0	0
SW948	95	PI3KCD	70	0	0	0
HCC1187	189	PI3KCD	70	0	0	0
NCI-H520	111	PI3KCD	70	0	0	0
HCC38	137	PI3KCD	70	0	0	0
MDA-MB-231	140	PI3KCD	70	0	0	0
NCI-H226	79	PI3KCD	70	0	0	0
SW620	106	PI3KCD	70	0	0	0
HCC1500	375	PI3KCD	70	9	0.128571428571429	0.024
MDA-MB-468	181	PI3KCD	70	0	0	0
NCI-H358	91	PI3KCD	70	0	0	0
HT-29	84	PI3KCD	70	0	0	0
EVSA-T	35	PI3KCD	70	0	0	0
647-V	191	PI3KCD	70	0	0	0
NCI-H747	110	PI3KCD	70	0	0	0
NCI-H1437	89	PI3KCD	70	0	0	0
HCC1428	136	PI3KCD	70	0	0	0
NCI-H1703	118	PI3KCD	70	0	0	0
HCC1419	262	PI3KCD	70	5	0.0714285714285714	0.0190839694656489
NCI-H838	84	PI3KCD	70	0	0	0
NCI-H2170	77	PI3KCD	70	0	0	0
HCT-116	63	PI3KCD	70	0	0	0
NCI-H1563	65	PI3KCD	70	0	0	0
NCI-H1793	91	PI3KCD	70	0	0	0
MCF7	404	PI3KCD	70	10	0.142857142857143	0.0247524752475248
HCC1395	183	PI3KCD	70	0	0	0
NCI-H1299	91	PI3KCD	70	0	0	0
COLO-205	123	PI3KCD	70	0	0	0
UM-UC-3	196	PI3KCD	70	0	0	0
NCI-SNU-16	26	PI3KCD	70	0	0	0
BT-549	139	PI3KCD	70	0	0	0
NCI-H522	88	PI3KCD	70	0	0	0
Calu-6	87	PI3KCD	70	0	0	0
TCCSUP	193	PI3KCD	70	0	0	0
RT4	27	PI3KCD	70	0	0	0
CAL-120	158	PI3KCD	70	0	0	0
DU-4475	125	PI3KCD	70	0	0	0
HCC1954	50	PI3KCD	70	0	0	0
NCI-H2085	90	PI3KCD	70	0	0	0
HCC1937	139	PI3KCD	70	0	0	0
LS-513	123	PI3KCD	70	0	0	0
HCC1569	52	PI3KCD	70	0	0	0
NCI-H1975	91	PI3KCD	70	0	0	0
MFM-223	138	PI3KCD	70	0	0	0
Calu-3	57	PI3KCD	70	0	0	0
BFTC-905	186	PI3KCD	70	0	0	0
J82	195	PI3KCD	70	0	0	0
C32	76	PI3KCD	70	0	0	0
T47D	365	PI3KCD	70	8	0.114285714285714	0.0219178082191781
NCI-H2228	85	PI3KCD	70	0	0	0
A549	87	PI3KCD	70	0	0	0
BT-474	435	PI3KCD	70	11	0.157142857142857	0.0252873563218391
NCI-H3122	70	PI3KCD	70	0	0	0
MDA-MB-157	190	PI3KCD	70	0	0	0
SW900	87	PI3KCD	70	0	0	0
UACC-812	340	PI3KCD	70	10	0.142857142857143	0.0294117647058824
KU-19-19	68	PI3KCD	70	0	0	0
BT-20	192	PI3KCD	70	0	0	0
MDA-MB-436	187	PI3KCD	70	0	0	0
RKO	63	PI3KCD	70	0	0	0
M14	129	PI3KCD	70	0	0	0
T-24	188	PI3KCD	70	0	0	0
NCI-H2291	89	PI3KCD	70	0	0	0
SW837	104	PI3KCD	70	0	0	0
MDA-MB-415	52	PI3KCD	70	0	0	0
VCaP	29	PI3KCD	70	0	0	0
MDA-MB-453	188	PI3KCD	70	0	0	0
HCC1143	136	PI3KCD	70	0	0	0
HCC70	180	PI3KCD	70	0	0	0
CAL-51	140	PI3KCD	70	0	0	0
22RV1	26	PI3KCD	70	0	0	0
HCC1806	140	PI3KCD	70	0	0	0
HT-1197	168	PI3KCD	70	0	0	0
KATOIII	27	NAE	73	0	0	0
Hs-578-T	127	NAE	73	0	0	0
CAMA-1	427	NAE	73	8	0.10958904109589	0.0187353629976581
MDA-MB-361	451	NAE	73	11	0.150684931506849	0.024390243902439
NCI-H23	85	NAE	73	0	0	0
SW780	181	NAE	73	0	0	0
SW48	124	NAE	73	0	0	0
MDA-MB-175-VII	88	NAE	73	2	0.0273972602739726	0.0227272727272727
HT-1376	170	NAE	73	0	0	0
CAL-148	138	NAE	73	0	0	0
KMS-11	19	NAE	73	0	0	0
VM-CUB-1	128	NAE	73	0	0	0
DMS-114	110	NAE	73	0	0	0
SW948	95	NAE	73	0	0	0
HCC1187	189	NAE	73	0	0	0
NCI-H520	111	NAE	73	0	0	0
HCC38	137	NAE	73	0	0	0
MDA-MB-231	140	NAE	73	0	0	0
NCI-H226	79	NAE	73	0	0	0
SW620	106	NAE	73	0	0	0
HCC1500	375	NAE	73	11	0.150684931506849	0.0293333333333333
MDA-MB-468	181	NAE	73	0	0	0
NCI-H358	91	NAE	73	0	0	0
HT-29	84	NAE	73	0	0	0
EVSA-T	35	NAE	73	0	0	0
647-V	191	NAE	73	0	0	0
NCI-H747	110	NAE	73	0	0	0
NCI-H1437	89	NAE	73	0	0	0
HCC1428	136	NAE	73	0	0	0
NCI-H1703	118	NAE	73	0	0	0
HCC1419	262	NAE	73	3	0.0410958904109589	0.0114503816793893
NCI-H838	84	NAE	73	0	0	0
NCI-H2170	77	NAE	73	0	0	0
HCT-116	63	NAE	73	0	0	0
NCI-H1563	65	NAE	73	0	0	0
NCI-H1793	91	NAE	73	0	0	0
MCF7	404	NAE	73	9	0.123287671232877	0.0222772277227723
HCC1395	183	NAE	73	0	0	0
NCI-H1299	91	NAE	73	0	0	0
COLO-205	123	NAE	73	0	0	0
UM-UC-3	196	NAE	73	0	0	0
NCI-SNU-16	26	NAE	73	0	0	0
BT-549	139	NAE	73	0	0	0
NCI-H522	88	NAE	73	0	0	0
Calu-6	87	NAE	73	0	0	0
TCCSUP	193	NAE	73	0	0	0
RT4	27	NAE	73	0	0	0
CAL-120	158	NAE	73	0	0	0
DU-4475	125	NAE	73	0	0	0
HCC1954	50	NAE	73	0	0	0
NCI-H2085	90	NAE	73	0	0	0
HCC1937	139	NAE	73	0	0	0
LS-513	123	NAE	73	0	0	0
HCC1569	52	NAE	73	0	0	0
NCI-H1975	91	NAE	73	0	0	0
MFM-223	138	NAE	73	0	0	0
Calu-3	57	NAE	73	0	0	0
BFTC-905	186	NAE	73	0	0	0
J82	195	NAE	73	0	0	0
C32	76	NAE	73	0	0	0
T47D	365	NAE	73	9	0.123287671232877	0.0246575342465753
NCI-H2228	85	NAE	73	0	0	0
A549	87	NAE	73	0	0	0
BT-474	435	NAE	73	11	0.150684931506849	0.0252873563218391
NCI-H3122	70	NAE	73	0	0	0
MDA-MB-157	190	NAE	73	0	0	0
SW900	87	NAE	73	0	0	0
UACC-812	340	NAE	73	9	0.123287671232877	0.0264705882352941
KU-19-19	68	NAE	73	0	0	0
BT-20	192	NAE	73	0	0	0
MDA-MB-436	187	NAE	73	0	0	0
RKO	63	NAE	73	0	0	0
M14	129	NAE	73	0	0	0
T-24	188	NAE	73	0	0	0
NCI-H2291	89	NAE	73	0	0	0
SW837	104	NAE	73	0	0	0
MDA-MB-415	52	NAE	73	0	0	0
VCaP	29	NAE	73	0	0	0
MDA-MB-453	188	NAE	73	0	0	0
HCC1143	136	NAE	73	0	0	0
HCC70	180	NAE	73	0	0	0
CAL-51	140	NAE	73	0	0	0
22RV1	26	NAE	73	0	0	0
HCC1806	140	NAE	73	0	0	0
HT-1197	168	NAE	73	0	0	0
KATOIII	27	HSP90	265	1	0.00377358490566038	0.037037037037037
Hs-578-T	127	HSP90	265	0	0	0
CAMA-1	427	HSP90	265	10	0.0377358490566038	0.0234192037470726
MDA-MB-361	451	HSP90	265	11	0.0415094339622641	0.024390243902439
NCI-H23	85	HSP90	265	0	0	0
SW780	181	HSP90	265	18	0.0679245283018868	0.0994475138121547
SW48	124	HSP90	265	0	0	0
MDA-MB-175-VII	88	HSP90	265	6	0.0226415094339623	0.0681818181818182
HT-1376	170	HSP90	265	18	0.0679245283018868	0.105882352941176
CAL-148	138	HSP90	265	0	0	0
KMS-11	19	HSP90	265	1	0.00377358490566038	0.0526315789473684
VM-CUB-1	128	HSP90	265	12	0.0452830188679245	0.09375
DMS-114	110	HSP90	265	1	0.00377358490566038	0.00909090909090909
SW948	95	HSP90	265	0	0	0
HCC1187	189	HSP90	265	0	0	0
NCI-H520	111	HSP90	265	1	0.00377358490566038	0.00900900900900901
HCC38	137	HSP90	265	0	0	0
MDA-MB-231	140	HSP90	265	0	0	0
NCI-H226	79	HSP90	265	0	0	0
SW620	106	HSP90	265	0	0	0
HCC1500	375	HSP90	265	9	0.0339622641509434	0.024
MDA-MB-468	181	HSP90	265	0	0	0
NCI-H358	91	HSP90	265	0	0	0
HT-29	84	HSP90	265	0	0	0
EVSA-T	35	HSP90	265	0	0	0
647-V	191	HSP90	265	19	0.0716981132075472	0.0994764397905759
NCI-H747	110	HSP90	265	0	0	0
NCI-H1437	89	HSP90	265	0	0	0
HCC1428	136	HSP90	265	0	0	0
NCI-H1703	118	HSP90	265	1	0.00377358490566038	0.00847457627118644
HCC1419	262	HSP90	265	7	0.0264150943396226	0.0267175572519084
NCI-H838	84	HSP90	265	0	0	0
NCI-H2170	77	HSP90	265	0	0	0
HCT-116	63	HSP90	265	0	0	0
NCI-H1563	65	HSP90	265	0	0	0
NCI-H1793	91	HSP90	265	0	0	0
MCF7	404	HSP90	265	11	0.0415094339622641	0.0272277227722772
HCC1395	183	HSP90	265	0	0	0
NCI-H1299	91	HSP90	265	0	0	0
COLO-205	123	HSP90	265	0	0	0
UM-UC-3	196	HSP90	265	19	0.0716981132075472	0.0969387755102041
NCI-SNU-16	26	HSP90	265	0	0	0
BT-549	139	HSP90	265	0	0	0
NCI-H522	88	HSP90	265	0	0	0
Calu-6	87	HSP90	265	0	0	0
TCCSUP	193	HSP90	265	19	0.0716981132075472	0.0984455958549223
RT4	27	HSP90	265	1	0.00377358490566038	0.037037037037037
CAL-120	158	HSP90	265	1	0.00377358490566038	0.00632911392405063
DU-4475	125	HSP90	265	0	0	0
HCC1954	50	HSP90	265	0	0	0
NCI-H2085	90	HSP90	265	0	0	0
HCC1937	139	HSP90	265	0	0	0
LS-513	123	HSP90	265	0	0	0
HCC1569	52	HSP90	265	0	0	0
NCI-H1975	91	HSP90	265	0	0	0
MFM-223	138	HSP90	265	0	0	0
Calu-3	57	HSP90	265	0	0	0
BFTC-905	186	HSP90	265	19	0.0716981132075472	0.102150537634409
J82	195	HSP90	265	19	0.0716981132075472	0.0974358974358974
C32	76	HSP90	265	0	0	0
T47D	365	HSP90	265	10	0.0377358490566038	0.0273972602739726
NCI-H2228	85	HSP90	265	0	0	0
A549	87	HSP90	265	0	0	0
BT-474	435	HSP90	265	11	0.0415094339622641	0.0252873563218391
NCI-H3122	70	HSP90	265	0	0	0
MDA-MB-157	190	HSP90	265	0	0	0
SW900	87	HSP90	265	0	0	0
UACC-812	340	HSP90	265	6	0.0226415094339623	0.0176470588235294
KU-19-19	68	HSP90	265	4	0.0150943396226415	0.0588235294117647
BT-20	192	HSP90	265	0	0	0
MDA-MB-436	187	HSP90	265	0	0	0
RKO	63	HSP90	265	0	0	0
M14	129	HSP90	265	0	0	0
T-24	188	HSP90	265	15	0.0566037735849057	0.0797872340425532
NCI-H2291	89	HSP90	265	0	0	0
SW837	104	HSP90	265	0	0	0
MDA-MB-415	52	HSP90	265	0	0	0
VCaP	29	HSP90	265	0	0	0
MDA-MB-453	188	HSP90	265	0	0	0
HCC1143	136	HSP90	265	0	0	0
HCC70	180	HSP90	265	0	0	0
CAL-51	140	HSP90	265	0	0	0
22RV1	26	HSP90	265	0	0	0
HCC1806	140	HSP90	265	0	0	0
HT-1197	168	HSP90	265	15	0.0566037735849057	0.0892857142857143
KATOIII	27	MAP2K	84	0	0	0
Hs-578-T	127	MAP2K	84	0	0	0
CAMA-1	427	MAP2K	84	9	0.107142857142857	0.0210772833723653
MDA-MB-361	451	MAP2K	84	11	0.130952380952381	0.024390243902439
NCI-H23	85	MAP2K	84	0	0	0
SW780	181	MAP2K	84	0	0	0
SW48	124	MAP2K	84	0	0	0
MDA-MB-175-VII	88	MAP2K	84	6	0.0714285714285714	0.0681818181818182
HT-1376	170	MAP2K	84	0	0	0
CAL-148	138	MAP2K	84	0	0	0
KMS-11	19	MAP2K	84	0	0	0
VM-CUB-1	128	MAP2K	84	0	0	0
DMS-114	110	MAP2K	84	0	0	0
SW948	95	MAP2K	84	0	0	0
HCC1187	189	MAP2K	84	0	0	0
NCI-H520	111	MAP2K	84	0	0	0
HCC38	137	MAP2K	84	0	0	0
MDA-MB-231	140	MAP2K	84	0	0	0
NCI-H226	79	MAP2K	84	0	0	0
SW620	106	MAP2K	84	0	0	0
HCC1500	375	MAP2K	84	9	0.107142857142857	0.024
MDA-MB-468	181	MAP2K	84	0	0	0
NCI-H358	91	MAP2K	84	0	0	0
HT-29	84	MAP2K	84	0	0	0
EVSA-T	35	MAP2K	84	0	0	0
647-V	191	MAP2K	84	0	0	0
NCI-H747	110	MAP2K	84	0	0	0
NCI-H1437	89	MAP2K	84	0	0	0
HCC1428	136	MAP2K	84	0	0	0
NCI-H1703	118	MAP2K	84	0	0	0
HCC1419	262	MAP2K	84	8	0.0952380952380952	0.0305343511450382
NCI-H838	84	MAP2K	84	0	0	0
NCI-H2170	77	MAP2K	84	0	0	0
HCT-116	63	MAP2K	84	0	0	0
NCI-H1563	65	MAP2K	84	0	0	0
NCI-H1793	91	MAP2K	84	0	0	0
MCF7	404	MAP2K	84	10	0.119047619047619	0.0247524752475248
HCC1395	183	MAP2K	84	0	0	0
NCI-H1299	91	MAP2K	84	0	0	0
COLO-205	123	MAP2K	84	0	0	0
UM-UC-3	196	MAP2K	84	0	0	0
NCI-SNU-16	26	MAP2K	84	0	0	0
BT-549	139	MAP2K	84	0	0	0
NCI-H522	88	MAP2K	84	0	0	0
Calu-6	87	MAP2K	84	0	0	0
TCCSUP	193	MAP2K	84	0	0	0
RT4	27	MAP2K	84	0	0	0
CAL-120	158	MAP2K	84	0	0	0
DU-4475	125	MAP2K	84	0	0	0
HCC1954	50	MAP2K	84	0	0	0
NCI-H2085	90	MAP2K	84	0	0	0
HCC1937	139	MAP2K	84	0	0	0
LS-513	123	MAP2K	84	0	0	0
HCC1569	52	MAP2K	84	0	0	0
NCI-H1975	91	MAP2K	84	0	0	0
MFM-223	138	MAP2K	84	0	0	0
Calu-3	57	MAP2K	84	0	0	0
BFTC-905	186	MAP2K	84	0	0	0
J82	195	MAP2K	84	0	0	0
C32	76	MAP2K	84	0	0	0
T47D	365	MAP2K	84	10	0.119047619047619	0.0273972602739726
NCI-H2228	85	MAP2K	84	0	0	0
A549	87	MAP2K	84	0	0	0
BT-474	435	MAP2K	84	11	0.130952380952381	0.0252873563218391
NCI-H3122	70	MAP2K	84	0	0	0
MDA-MB-157	190	MAP2K	84	0	0	0
SW900	87	MAP2K	84	0	0	0
UACC-812	340	MAP2K	84	10	0.119047619047619	0.0294117647058824
KU-19-19	68	MAP2K	84	0	0	0
BT-20	192	MAP2K	84	0	0	0
MDA-MB-436	187	MAP2K	84	0	0	0
RKO	63	MAP2K	84	0	0	0
M14	129	MAP2K	84	0	0	0
T-24	188	MAP2K	84	0	0	0
NCI-H2291	89	MAP2K	84	0	0	0
SW837	104	MAP2K	84	0	0	0
MDA-MB-415	52	MAP2K	84	0	0	0
VCaP	29	MAP2K	84	0	0	0
MDA-MB-453	188	MAP2K	84	0	0	0
HCC1143	136	MAP2K	84	0	0	0
HCC70	180	MAP2K	84	0	0	0
CAL-51	140	MAP2K	84	0	0	0
22RV1	26	MAP2K	84	0	0	0
HCC1806	140	MAP2K	84	0	0	0
HT-1197	168	MAP2K	84	0	0	0
KATOIII	27	IGFR_4	52	0	0	0
Hs-578-T	127	IGFR_4	52	0	0	0
CAMA-1	427	IGFR_4	52	0	0	0
MDA-MB-361	451	IGFR_4	52	0	0	0
NCI-H23	85	IGFR_4	52	0	0	0
SW780	181	IGFR_4	52	0	0	0
SW48	124	IGFR_4	52	5	0.0961538461538462	0.0403225806451613
MDA-MB-175-VII	88	IGFR_4	52	0	0	0
HT-1376	170	IGFR_4	52	0	0	0
CAL-148	138	IGFR_4	52	0	0	0
KMS-11	19	IGFR_4	52	0	0	0
VM-CUB-1	128	IGFR_4	52	0	0	0
DMS-114	110	IGFR_4	52	0	0	0
SW948	95	IGFR_4	52	5	0.0961538461538462	0.0526315789473684
HCC1187	189	IGFR_4	52	0	0	0
NCI-H520	111	IGFR_4	52	0	0	0
HCC38	137	IGFR_4	52	0	0	0
MDA-MB-231	140	IGFR_4	52	0	0	0
NCI-H226	79	IGFR_4	52	0	0	0
SW620	106	IGFR_4	52	5	0.0961538461538462	0.0471698113207547
HCC1500	375	IGFR_4	52	0	0	0
MDA-MB-468	181	IGFR_4	52	0	0	0
NCI-H358	91	IGFR_4	52	0	0	0
HT-29	84	IGFR_4	52	5	0.0961538461538462	0.0595238095238095
EVSA-T	35	IGFR_4	52	0	0	0
647-V	191	IGFR_4	52	0	0	0
NCI-H747	110	IGFR_4	52	5	0.0961538461538462	0.0454545454545455
NCI-H1437	89	IGFR_4	52	0	0	0
HCC1428	136	IGFR_4	52	0	0	0
NCI-H1703	118	IGFR_4	52	0	0	0
HCC1419	262	IGFR_4	52	0	0	0
NCI-H838	84	IGFR_4	52	0	0	0
NCI-H2170	77	IGFR_4	52	0	0	0
HCT-116	63	IGFR_4	52	3	0.0576923076923077	0.0476190476190476
NCI-H1563	65	IGFR_4	52	0	0	0
NCI-H1793	91	IGFR_4	52	0	0	0
MCF7	404	IGFR_4	52	0	0	0
HCC1395	183	IGFR_4	52	0	0	0
NCI-H1299	91	IGFR_4	52	0	0	0
COLO-205	123	IGFR_4	52	5	0.0961538461538462	0.040650406504065
UM-UC-3	196	IGFR_4	52	0	0	0
NCI-SNU-16	26	IGFR_4	52	0	0	0
BT-549	139	IGFR_4	52	0	0	0
NCI-H522	88	IGFR_4	52	0	0	0
Calu-6	87	IGFR_4	52	0	0	0
TCCSUP	193	IGFR_4	52	0	0	0
RT4	27	IGFR_4	52	0	0	0
CAL-120	158	IGFR_4	52	0	0	0
DU-4475	125	IGFR_4	52	0	0	0
HCC1954	50	IGFR_4	52	0	0	0
NCI-H2085	90	IGFR_4	52	0	0	0
HCC1937	139	IGFR_4	52	0	0	0
LS-513	123	IGFR_4	52	5	0.0961538461538462	0.040650406504065
HCC1569	52	IGFR_4	52	0	0	0
NCI-H1975	91	IGFR_4	52	0	0	0
MFM-223	138	IGFR_4	52	0	0	0
Calu-3	57	IGFR_4	52	0	0	0
BFTC-905	186	IGFR_4	52	0	0	0
J82	195	IGFR_4	52	0	0	0
C32	76	IGFR_4	52	5	0.0961538461538462	0.0657894736842105
T47D	365	IGFR_4	52	0	0	0
NCI-H2228	85	IGFR_4	52	0	0	0
A549	87	IGFR_4	52	0	0	0
BT-474	435	IGFR_4	52	0	0	0
NCI-H3122	70	IGFR_4	52	0	0	0
MDA-MB-157	190	IGFR_4	52	0	0	0
SW900	87	IGFR_4	52	0	0	0
UACC-812	340	IGFR_4	52	0	0	0
KU-19-19	68	IGFR_4	52	0	0	0
BT-20	192	IGFR_4	52	0	0	0
MDA-MB-436	187	IGFR_4	52	0	0	0
RKO	63	IGFR_4	52	4	0.0769230769230769	0.0634920634920635
M14	129	IGFR_4	52	0	0	0
T-24	188	IGFR_4	52	0	0	0
NCI-H2291	89	IGFR_4	52	0	0	0
SW837	104	IGFR_4	52	5	0.0961538461538462	0.0480769230769231
MDA-MB-415	52	IGFR_4	52	0	0	0
VCaP	29	IGFR_4	52	0	0	0
MDA-MB-453	188	IGFR_4	52	0	0	0
HCC1143	136	IGFR_4	52	0	0	0
HCC70	180	IGFR_4	52	0	0	0
CAL-51	140	IGFR_4	52	0	0	0
22RV1	26	IGFR_4	52	0	0	0
HCC1806	140	IGFR_4	52	0	0	0
HT-1197	168	IGFR_4	52	0	0	0
KATOIII	27	MTOR_5	79	0	0	0
Hs-578-T	127	MTOR_5	79	0	0	0
